top_1,top_5
0.7,1
top_1,top_5
0.7,1
top_1,top_5
0.7,1
top_1,top_5
0.66,0.85
top_1,top_5
0.66,0.87
top_1,top_5
0.7,1
top_1,top_5
0.71,0.87
