map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.53256,0.785653,0.579771,0.578633,0.276072,-1,0.113375,0.571787,0.622487,0.622642,-1,0.66551,0.370355,0.184296
0.622784,0.858846,0.69778,0.665691,0.321001,-1,0.15505,0.637617,0.694557,0.694561,-1,0.732234,0.410747,0.212314
0.660127,0.89129,0.740452,0.703844,0.327272,-1,0.150899,0.669831,0.720072,0.720079,-1,0.759279,0.415326,0.219246
0.676538,0.900365,0.756281,0.719987,0.33453,-1,0.153125,0.68341,0.734733,0.734741,-1,0.773517,0.423209,0.21319
0.687379,0.903989,0.766718,0.73013,0.338383,-1,0.158424,0.694035,0.744354,0.744354,-1,0.783962,0.425025,0.229801
0.690685,0.902795,0.772278,0.731544,0.340843,-1,0.158267,0.695085,0.747039,0.747039,-1,0.785434,0.42913,0.231024
