map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.516049,0.763933,0.55348,0.560159,0.277553,-1,0.0268977,0.552287,0.609193,0.60926,-1,0.636625,0.427656,0.0454546
0.578236,0.807834,0.646692,0.619449,0.310442,-1,0.0377133,0.599065,0.658388,0.658388,-1,0.687764,0.436899,0.0545455
0.604101,0.832663,0.666868,0.645925,0.306758,-1,0.0511738,0.619423,0.675929,0.675929,-1,0.70682,0.429696,0.0545455
0.625392,0.839897,0.692789,0.666891,0.312478,-1,0.0515242,0.635151,0.693493,0.693493,-1,0.724416,0.42469,0.0590909
0.634144,0.840353,0.700498,0.674889,0.322312,-1,0.0448553,0.644536,0.701896,0.701896,-1,0.731193,0.438074,0.0545455
0.640475,0.840081,0.707349,0.679895,0.325712,-1,0.0450901,0.648842,0.707306,0.707306,-1,0.73605,0.444426,0.0590909
