accumulator_flops,add_flops,bias_flops,einsum_flops,gate_flops,linear_flops,matmul_flops
1.12021e+07,3.98974e+08,1.09686e+07,7.58661e+08,2.03024e+08,1.12318e+10,7.0654e+09
1.15943e+07,3.98974e+08,2.15579e+07,7.58661e+08,2.03024e+08,2.20753e+10,9.83274e+09
1.19865e+07,3.98974e+08,3.21472e+07,7.58661e+08,2.03024e+08,3.29187e+10,1.26001e+10
1.23787e+07,3.98974e+08,4.27365e+07,7.58661e+08,2.03024e+08,4.37622e+10,1.53674e+10
1.31631e+07,3.98974e+08,6.39151e+07,7.58661e+08,2.03024e+08,6.54491e+10,2.09021e+10
1.39475e+07,3.98974e+08,8.50938e+07,7.58661e+08,2.03024e+08,8.7136e+10,2.64368e+10
