map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.427339,0.668599,0.460839,0.475901,0.186215,-1,0.00335201,0.46875,0.519224,0.520289,-1,0.568786,0.258707,0.0450178
0.553729,0.804257,0.597519,0.607494,0.256286,-1,0.0593555,0.574724,0.634982,0.635222,-1,0.686618,0.349508,0.0845455
0.619785,0.860829,0.676169,0.672017,0.332773,-1,0.101868,0.628788,0.68744,0.687594,-1,0.733381,0.399502,0.153908
0.654946,0.883534,0.724921,0.707197,0.352481,-1,0.110322,0.663281,0.712725,0.712725,-1,0.759844,0.412613,0.15836
0.684819,0.89482,0.766298,0.737987,0.358944,-1,0.114277,0.687599,0.736263,0.736263,-1,0.78384,0.417624,0.159403
0.690843,0.895804,0.771199,0.743713,0.355344,-1,0.114861,0.693812,0.74234,0.74234,-1,0.78957,0.424199,0.162732
