map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.400455,0.649437,0.423455,0.579928,0.452065,-1,0.0544704,0.446354,0.57264,0.57264,-1,0.651682,0.649513,0.0909091
0.445109,0.679073,0.467999,0.631137,0.481962,-1,0.0756304,0.457347,0.584317,0.584317,-1,0.696358,0.640986,0.109091
0.444585,0.662677,0.455957,0.638379,0.468656,-1,0.102415,0.460674,0.58438,0.58438,-1,0.707224,0.629835,0.109091
0.44973,0.662179,0.467927,0.647072,0.475841,-1,0.103119,0.457076,0.581684,0.581684,-1,0.710876,0.622774,0.118182
0.44927,0.664059,0.469796,0.644631,0.478738,-1,0.0897578,0.464417,0.588144,0.588144,-1,0.710465,0.630978,0.109091
0.449899,0.65864,0.467554,0.64316,0.482594,-1,0.0902855,0.471014,0.591665,0.591665,-1,0.70764,0.639215,0.118182
