accumulator_flops,add_flops,bias_flops,einsum_flops,gate_flops,linear_flops,matmul_flops
1.119e+07,3.98974e+08,1.11151e+07,7.58661e+08,2.02804e+08,1.13819e+10,7.08305e+09
1.15818e+07,3.98974e+08,2.1693e+07,7.58661e+08,2.02804e+08,2.22136e+10,9.84739e+09
1.19735e+07,3.98974e+08,3.22708e+07,7.58661e+08,2.02804e+08,3.30453e+10,1.26117e+10
1.23653e+07,3.98974e+08,4.28486e+07,7.58661e+08,2.02804e+08,4.3877e+10,1.53761e+10
1.31489e+07,3.98974e+08,6.40043e+07,7.58661e+08,2.02804e+08,6.55404e+10,2.09048e+10
1.39324e+07,3.98974e+08,8.516e+07,7.58661e+08,2.02804e+08,8.72039e+10,2.64335e+10
