map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.38657,0.622725,0.40108,0.429852,0.203956,-1,0.00288586,0.426935,0.468924,0.469748,-1,0.507679,0.252271,0.0159091
0.510039,0.757671,0.536681,0.568501,0.240622,-1,0.061916,0.550936,0.60291,0.603603,-1,0.657124,0.321505,0.0835227
0.601071,0.851813,0.658367,0.652701,0.344923,-1,0.0931157,0.619677,0.6768,0.677106,-1,0.72828,0.409738,0.119318
0.645917,0.887694,0.705129,0.700345,0.360703,-1,0.131794,0.647423,0.701423,0.701423,-1,0.751852,0.424363,0.171023
0.68732,0.9032,0.774189,0.740598,0.387919,-1,0.13202,0.686144,0.736803,0.736803,-1,0.787825,0.447025,0.172727
0.693175,0.900692,0.777492,0.745581,0.395267,-1,0.129636,0.693525,0.743533,0.743533,-1,0.794308,0.449719,0.170455
