accumulator_flops,add_flops,bias_flops,einsum_flops,gate_flops,linear_flops,matmul_flops
1.09808e+07,3.98974e+08,1.36431e+07,7.58661e+08,1.99012e+08,1.39705e+10,7.38752e+09
1.13652e+07,3.98974e+08,2.40231e+07,7.58661e+08,1.99012e+08,2.45997e+10,1.01002e+10
1.17497e+07,3.98974e+08,3.44032e+07,7.58661e+08,1.99012e+08,3.52289e+10,1.28128e+10
1.21341e+07,3.98974e+08,4.47832e+07,7.58661e+08,1.99012e+08,4.5858e+10,1.55255e+10
1.2903e+07,3.98974e+08,6.55434e+07,7.58661e+08,1.99012e+08,6.71164e+10,2.09508e+10
1.36719e+07,3.98974e+08,8.63035e+07,7.58661e+08,1.99012e+08,8.83748e+10,2.63761e+10
