map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.135564,0.399696,0.0707167,0.223698,0.167618,-1,0.00128752,0.131161,0.252118,0.252636,-1,0.334244,0.29372,0.0272727
0.227107,0.538267,0.185219,0.380986,0.224796,-1,0.0599391,0.226993,0.368626,0.370354,-1,0.49607,0.392652,0.1
0.255838,0.532699,0.23854,0.44354,0.241485,-1,0.0434856,0.227999,0.399585,0.39993,-1,0.556079,0.406402,0.0909091
0.247562,0.490517,0.237922,0.436902,0.231585,-1,0.0461331,0.210773,0.364417,0.364474,-1,0.516921,0.399482,0.118182
0.247369,0.479983,0.244533,0.426583,0.269718,-1,0.0741539,0.227355,0.396088,0.396433,-1,0.547019,0.428018,0.118182
0.255149,0.493193,0.26473,0.455399,0.261422,-1,0.0529048,0.222481,0.385874,0.386335,-1,0.555042,0.407622,0.118182
