map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.319544,0.540421,0.331227,0.365603,0.180147,-1,0,0.368026,0.405957,0.408357,-1,0.450498,0.229327,0
0.463836,0.720001,0.469755,0.527953,0.234199,-1,0.010145,0.488048,0.543464,0.543703,-1,0.602946,0.283402,0.0257576
0.582992,0.835188,0.642192,0.654436,0.292001,-1,0.0449455,0.5924,0.646996,0.647235,-1,0.707943,0.368705,0.0753788
0.636231,0.87352,0.696581,0.71115,0.377952,-1,0.0476756,0.639684,0.689378,0.689378,-1,0.752981,0.423567,0.0742424
0.677734,0.891228,0.747135,0.749898,0.37444,-1,0.0768947,0.673683,0.724057,0.724057,-1,0.786761,0.42422,0.117045
0.685622,0.895435,0.761604,0.750943,0.398121,-1,0.088026,0.680249,0.730916,0.730916,-1,0.790264,0.443783,0.118939
