accumulator_flops,add_flops,bias_flops,einsum_flops,gate_flops,linear_flops,matmul_flops
1.0736e+07,3.98974e+08,1.65999e+07,7.58661e+08,1.94577e+08,1.69983e+10,7.74366e+09
1.11119e+07,3.98974e+08,2.67486e+07,7.58661e+08,1.94577e+08,2.73906e+10,1.03959e+10
1.14878e+07,3.98974e+08,3.68974e+07,7.58661e+08,1.94577e+08,3.77829e+10,1.30481e+10
1.18637e+07,3.98974e+08,4.70461e+07,7.58661e+08,1.94577e+08,4.81752e+10,1.57003e+10
1.26154e+07,3.98974e+08,6.73435e+07,7.58661e+08,1.94577e+08,6.89598e+10,2.10046e+10
1.33672e+07,3.98974e+08,8.76409e+07,7.58661e+08,1.94577e+08,8.97443e+10,2.6309e+10
