map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.484848,0.752039,0.533219,0.545628,0.323376,-1,0.0969328,0.462095,0.595045,0.59585,-1,0.664233,0.456032,0.17143
0.555854,0.802782,0.636887,0.621617,0.381084,-1,0.136884,0.512406,0.657404,0.658073,-1,0.728154,0.519783,0.208765
0.57741,0.81398,0.667153,0.6458,0.399231,-1,0.149724,0.528927,0.677148,0.677751,-1,0.749632,0.545012,0.2366
0.58569,0.81848,0.677817,0.654522,0.404903,-1,0.156038,0.535134,0.684257,0.684818,-1,0.756654,0.548817,0.238125
0.591247,0.822673,0.683928,0.660204,0.408676,-1,0.16155,0.539506,0.689357,0.689928,-1,0.761488,0.55638,0.241638
0.591388,0.822517,0.684906,0.660255,0.408582,-1,0.159916,0.539285,0.689125,0.689679,-1,0.761363,0.557894,0.240562
