map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.215347,0.504951,0.128713,0.252475,0.252475,-1,-1,0.15,0.2125,0.2125,-1,0.25,0.25,-1
map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.14568,0.5,0.0321782,0.209241,0.267987,-1,-1,0.075,0.175,0.1875,-1,0.225,0.3,-1
