map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.381993,0.628652,0.402469,0.423552,0.212388,-1,0.0030198,0.425663,0.470666,0.47244,-1,0.506452,0.26612,0.0147727
0.507909,0.745434,0.536801,0.564345,0.239047,-1,0.0613254,0.555048,0.609092,0.60987,-1,0.664095,0.320969,0.0795455
0.599287,0.846807,0.667141,0.652121,0.354796,-1,0.0898736,0.618599,0.674773,0.675018,-1,0.726253,0.409981,0.122727
0.645073,0.886753,0.707437,0.699436,0.359691,-1,0.129427,0.647775,0.702168,0.702168,-1,0.751799,0.418204,0.172159
0.686581,0.90465,0.772242,0.739755,0.389336,-1,0.133553,0.685626,0.735523,0.735523,-1,0.786393,0.447321,0.175568
0.693358,0.900637,0.777581,0.745695,0.395194,-1,0.130038,0.693231,0.743662,0.743662,-1,0.794485,0.44964,0.170455
