accumulator_flops,add_flops,bias_flops,einsum_flops,gate_flops,linear_flops,matmul_flops
1.10346e+07,3.98974e+08,5.30842e+06,7.58661e+08,2.03551e+08,5.43582e+09,5.63577e+09
1.12312e+07,3.98974e+08,1.06168e+07,7.58661e+08,2.03551e+08,1.08716e+10,7.02303e+09
1.14278e+07,3.98974e+08,1.59252e+07,7.58661e+08,2.03551e+08,1.63075e+10,8.4103e+09
1.16244e+07,3.98974e+08,2.12337e+07,7.58661e+08,2.03551e+08,2.17433e+10,9.79757e+09
1.20177e+07,3.98974e+08,3.18505e+07,7.58661e+08,2.03551e+08,3.26149e+10,1.25721e+10
1.24109e+07,3.98974e+08,4.24673e+07,7.58661e+08,2.03551e+08,4.34865e+10,1.53466e+10
