map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.319835,0.605082,0.298356,0.357377,0.214091,-1,0.0824575,0.33685,0.441766,0.443374,-1,0.493447,0.328961,0.118714
0.414733,0.699114,0.429709,0.463525,0.281657,-1,0.106886,0.408052,0.53133,0.532635,-1,0.592377,0.404452,0.155928
0.455862,0.733804,0.489401,0.508821,0.312328,-1,0.121949,0.438707,0.570194,0.571222,-1,0.634219,0.441642,0.174036
0.476253,0.742521,0.522267,0.531017,0.329622,-1,0.128607,0.45732,0.591033,0.591849,-1,0.655978,0.464174,0.186649
0.481677,0.732847,0.537194,0.538148,0.335238,-1,0.125718,0.463575,0.597958,0.598671,-1,0.663014,0.468232,0.185143
0.481511,0.729419,0.537354,0.541477,0.336423,-1,0.117064,0.466699,0.596969,0.59764,-1,0.664175,0.469499,0.18291
