accumulator_flops,add_flops,bias_flops,einsum_flops,gate_flops,linear_flops,matmul_flops
1.11053e+07,3.98974e+08,1.21388e+07,7.58661e+08,2.01268e+08,1.24301e+10,7.20634e+09
1.14941e+07,3.98974e+08,2.26365e+07,7.58661e+08,2.01268e+08,2.31798e+10,9.94976e+09
1.18829e+07,3.98974e+08,3.31343e+07,7.58661e+08,2.01268e+08,3.39295e+10,1.26932e+10
1.22717e+07,3.98974e+08,4.3632e+07,7.58661e+08,2.01268e+08,4.46792e+10,1.54366e+10
1.30493e+07,3.98974e+08,6.46276e+07,7.58661e+08,2.01268e+08,6.61786e+10,2.09234e+10
1.38269e+07,3.98974e+08,8.56231e+07,7.58661e+08,2.01268e+08,8.7678e+10,2.64102e+10
