accumulator_flops,add_flops,bias_flops,einsum_flops,gate_flops,linear_flops,matmul_flops
1.10666e+07,1.74932e+08,1.09686e+07,5.31063e+08,8.72395e+07,1.12318e+10,5.79195e+09
1.12319e+07,1.74932e+08,2.15579e+07,5.31063e+08,8.72395e+07,2.20753e+10,6.84013e+09
1.1346e+07,1.74932e+08,3.21472e+07,5.31063e+08,8.72395e+07,3.29187e+10,7.61649e+09
1.14279e+07,1.74932e+08,4.27365e+07,5.31063e+08,8.72395e+07,4.37622e+10,8.22282e+09
1.15394e+07,1.74932e+08,6.39151e+07,5.31063e+08,8.72395e+07,6.54491e+10,9.15898e+09
