map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.49333,0.740763,0.51885,0.53328,0.258879,-1,0.0223646,0.53999,0.598947,0.599473,-1,0.628431,0.406072,0.0318182
0.558167,0.776233,0.617839,0.599583,0.282951,-1,0.0202378,0.593629,0.655456,0.655487,-1,0.68644,0.427276,0.0454545
0.585649,0.788917,0.641455,0.628326,0.286322,-1,0.022612,0.612342,0.673215,0.673541,-1,0.70416,0.426949,0.0363636
0.606821,0.797593,0.666724,0.649083,0.290539,-1,0.0304102,0.630135,0.691003,0.69139,-1,0.721212,0.434595,0.0363636
0.613003,0.795152,0.67399,0.655634,0.291059,-1,0.0227723,0.634749,0.700112,0.70053,-1,0.730475,0.436909,0.0363636
