map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.399453,0.656994,0.413046,0.573601,0.456291,-1,0.0428336,0.435036,0.570497,0.570497,-1,0.653618,0.647427,0.0818182
0.441155,0.67689,0.452834,0.630127,0.471913,-1,0.0749175,0.451252,0.580693,0.580693,-1,0.698149,0.635857,0.1
0.443047,0.660962,0.458717,0.637742,0.47013,-1,0.104349,0.461154,0.584209,0.584209,-1,0.707153,0.630576,0.118182
0.450261,0.665465,0.465769,0.647429,0.477227,-1,0.103067,0.460982,0.583992,0.583992,-1,0.709637,0.627762,0.118182
0.448342,0.660238,0.466673,0.64352,0.480345,-1,0.0897838,0.464116,0.586492,0.586492,-1,0.70881,0.630656,0.109091
0.449843,0.657198,0.467699,0.643095,0.482558,-1,0.0902855,0.470807,0.591373,0.591373,-1,0.706747,0.639296,0.118182
