map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.320611,0.538311,0.321224,0.363485,0.189388,-1,0,0.370564,0.410359,0.413451,-1,0.449082,0.24785,0
0.465632,0.7178,0.477605,0.527789,0.258052,-1,0.00700723,0.490022,0.547437,0.547915,-1,0.605452,0.302275,0.0215909
0.577193,0.831772,0.635055,0.648962,0.286896,-1,0.0371785,0.589028,0.641194,0.641373,-1,0.704125,0.361068,0.0708333
0.637405,0.876593,0.697643,0.71391,0.378847,-1,0.0485468,0.640058,0.689702,0.689702,-1,0.752928,0.425651,0.0765152
0.676193,0.892104,0.74627,0.749152,0.373328,-1,0.0815967,0.672229,0.723087,0.723087,-1,0.785682,0.425561,0.121591
0.686304,0.896285,0.762009,0.751542,0.400073,-1,0.088026,0.679823,0.731465,0.731465,-1,0.790295,0.444435,0.118939
