map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.534374,0.786403,0.580602,0.576371,0.266434,-1,0.0424604,0.578752,0.630444,0.630768,-1,0.671119,0.383383,0.0958537
0.626947,0.864666,0.705339,0.665679,0.325087,-1,0.0684065,0.640023,0.69712,0.697135,-1,0.733456,0.425723,0.117773
0.662329,0.894263,0.742029,0.703048,0.32699,-1,0.0832854,0.671051,0.721288,0.721324,-1,0.758417,0.431752,0.12391
0.681018,0.90261,0.763708,0.720169,0.328491,-1,0.0833776,0.686672,0.737423,0.737423,-1,0.773408,0.432791,0.126419
0.691034,0.905394,0.770221,0.729677,0.336056,-1,0.0824667,0.696024,0.745915,0.745915,-1,0.782923,0.438313,0.12708
0.694789,0.905499,0.777007,0.73169,0.338743,-1,0.0827638,0.697993,0.74957,0.74957,-1,0.785068,0.443319,0.128352
