accumulator_flops,add_flops,bias_flops,einsum_flops,gate_flops,linear_flops,matmul_flops
996938,3.54149e+07,942401,6.73424e+07,1.80682e+07,9.65019e+08,6.23398e+08
1.03184e+06,3.54149e+07,1.8848e+06,6.73424e+07,1.80682e+07,1.93004e+09,8.69679e+08
1.06675e+06,3.54149e+07,2.8272e+06,6.73424e+07,1.80682e+07,2.89506e+09,1.11596e+09
1.10165e+06,3.54149e+07,3.7696e+06,6.73424e+07,1.80682e+07,3.86007e+09,1.36224e+09
1.17146e+06,3.54149e+07,5.65441e+06,6.73424e+07,1.80682e+07,5.79011e+09,1.8548e+09
1.24126e+06,3.54149e+07,7.53921e+06,6.73424e+07,1.80682e+07,7.72015e+09,2.34736e+09
