map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.535938,0.78522,0.583844,0.584136,0.275273,-1,0.117145,0.579261,0.63017,0.63049,-1,0.673772,0.373154,0.186822
0.624264,0.861558,0.702022,0.667037,0.324829,-1,0.154094,0.638568,0.695289,0.695304,-1,0.733012,0.411804,0.213676
0.658591,0.891027,0.73698,0.703015,0.327348,-1,0.150935,0.66892,0.719078,0.719113,-1,0.757989,0.416708,0.218752
0.676526,0.90036,0.757228,0.720203,0.332155,-1,0.152755,0.684357,0.735281,0.735281,-1,0.774158,0.420043,0.212463
0.686867,0.902506,0.765789,0.729371,0.338665,-1,0.158185,0.693491,0.743671,0.743671,-1,0.783053,0.424925,0.229605
0.690649,0.903159,0.772629,0.731546,0.341064,-1,0.158384,0.695311,0.747223,0.747223,-1,0.78568,0.429102,0.230684
