map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.388548,0.65507,0.377828,0.407605,0.145442,-1,0.00420443,0.43806,0.490384,0.492057,-1,0.523365,0.216251,0.0163179
0.471934,0.71616,0.509199,0.49632,0.192181,-1,0.0356863,0.514354,0.569086,0.570784,-1,0.600797,0.301157,0.0658973
0.508303,0.75928,0.555431,0.54352,0.203008,-1,0.0444863,0.544647,0.606306,0.607016,-1,0.644737,0.318988,0.078347
0.523926,0.768725,0.566734,0.558243,0.20832,-1,0.052913,0.563333,0.621345,0.621966,-1,0.655343,0.327512,0.103233
0.549431,0.788695,0.597541,0.582214,0.222428,-1,0.0642896,0.578281,0.634828,0.634929,-1,0.66924,0.315944,0.104807
0.53384,0.76195,0.581224,0.569167,0.217648,-1,0.0510364,0.572355,0.624656,0.624787,-1,0.662423,0.295189,0.0969831
