map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.215347,0.504951,0.128713,0.252475,0.252475,-1,-1,0.15,0.2125,0.2125,-1,0.25,0.25,-1
map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small
0.189666,0.5,0.126238,0.209241,0.367657,-1,-1,0.125,0.225,0.2375,-1,0.225,0.5,-1
